miRNA	CD56_S4	CD14_S2	CD4_S4	CD14_S1	CD56_S1	CD19_S4	CD19_S3	CD19_S1	CD4_S3	CD14_S4	CD56_S3	CD56_S2	CD4_S1	CD19_S2	CD4_S2	CD14_S3
hsa-miR-330-5p	648	304	354	254	951	244	193	160	245	452	1043	1088	457	169	293	438
hsa-miR-6764-3p	0	0	1	1	1	0	0	0	0	2	0	2	1	1	1	1
hsa-miR-2276-5p	0	2	1	1	1	1	0	3	0	4	1	0	0	0	1	1
hsa-miR-4320	0	3	0	3	2	0	1	1	0	1	3	1	1	0	0	1
hsa-miR-8057	0	0	1	2	2	0	2	5	0	0	0	2	2	0	0	2
hsa-miR-3085-3p	1	0	0	2	0	0	0	0	0	1	1	1	0	0	0	1
hsa-miR-12113	2	2	0	0	1	0	1	0	0	1	0	1	0	0	0	0
hsa-miR-6877-3p	0	2	2	0	2	1	0	0	1	2	1	0	1	3	0	3
hsa-miR-210-3p	260	94	124	97	346	149	335	289	209	134	275	489	203	310	259	123
hsa-miR-3664-5p	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6780a-3p	1	3	1	2	1	0	0	0	0	5	1	1	2	2	1	2
hsa-miR-597-3p	10	47	11	43	31	7	11	13	3	46	23	19	15	7	7	56
hsa-miR-130b-5p	2065	14416	3476	15538	3128	808	871	410	626	18889	3050	3169	2173	445	451	21391
hsa-miR-6883-3p	3	12	2	4	2	2	1	3	3	5	1	3	4	0	1	7
hsa-miR-4452	0	0	0	1	0	0	0	1	1	3	1	0	0	1	0	4
hsa-miR-29a-5p	87	19	38	10	76	48	185	181	252	19	58	137	102	240	318	26
hsa-miR-4299	3	1	2	3	1	1	1	0	0	4	5	3	1	1	0	2
hsa-miR-6788-5p	0	22	8	17	11	2	3	5	2	24	4	8	2	6	3	31
hsa-miR-4510	0	1	4	1	1	0	1	0	0	8	0	0	0	1	0	2
hsa-miR-6834-5p	0	6	1	3	1	0	3	0	0	3	0	2	1	1	1	4
hsa-miR-3175	2	1	1	2	0	0	0	2	0	0	0	1	0	0	3	2
hsa-miR-4786-5p	26	43	25	37	27	9	23	11	22	40	29	30	9	3	4	113
hsa-miR-6859-5p	4	7	4	8	11	4	5	10	5	14	3	5	9	3	1	20
hsa-miR-143-3p	748	11909	2058	7147	576	724	542	127	69	15013	1062	1617	1149	257	28	10971
hsa-miR-30c-1-3p	222	459	153	398	296	155	278	301	89	618	253	351	231	159	91	731
hsa-miR-1276	7	3	3	4	18	0	2	6	11	5	12	13	9	2	8	3
hsa-miR-208a-5p	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	1
hsa-miR-4706	5	4	2	3	4	1	3	3	1	8	2	3	3	1	1	5
hsa-miR-7106-5p	5	2	5	8	1	2	9	12	5	4	5	2	1	1	1	1
hsa-miR-6887-5p	2	2	1	3	1	1	3	3	6	4	2	1	1	3	2	2
hsa-miR-151a-5p	23	11	14	11	18	52	83	119	37	17	6	21	8	82	38	16
hsa-miR-3146	8	21	12	33	15	4	6	14	4	24	10	11	4	4	6	40
hsa-miR-6857-5p	1	0	0	3	1	0	0	0	1	0	0	0	0	0	0	2
hsa-miR-6821-5p	0	4	1	1	1	0	1	2	1	3	0	2	0	1	0	2
hsa-miR-4538	1	1	1	1	0	1	1	2	0	4	3	1	1	2	0	5
hsa-miR-7704	339	82	191	33	319	295	342	297	248	152	343	538	310	247	223	100
hsa-miR-6803-5p	4	6	1	9	6	1	4	7	4	3	4	9	13	7	2	1
hsa-miR-6134	2	3	1	4	2	4	1	2	4	4	4	2	1	3	4	2
hsa-miR-6818-5p	3	46	12	58	10	2	2	4	1	46	11	12	9	4	3	63
hsa-miR-4481	1	6	1	1	1	1	1	2	0	4	3	2	3	3	2	3
hsa-miR-122-5p	3	3	6	3	2	2	5	12	7	11	4	11	7	2	9	5
hsa-miR-4519	2	0	0	1	5	1	2	0	4	1	1	5	3	0	1	0
hsa-miR-6867-5p	4	10	2	10	4	3	6	5	1	13	7	5	4	0	4	8
hsa-miR-924	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1
hsa-miR-374a-3p	3446	5409	2161	8587	3576	1059	3463	2530	2700	10221	3506	4887	2642	1532	2653	9579
hsa-miR-4729	2	4	1	9	2	1	2	2	1	9	1	2	2	0	2	5
hsa-miR-4802-3p	4	72	9	102	13	1	2	2	0	64	8	5	2	2	0	87
hsa-miR-3134	1	2	3	1	5	1	1	4	2	5	1	3	1	0	4	2
hsa-miR-6815-5p	1	2	1	0	4	6	3	4	1	1	0	2	6	3	3	1
hsa-miR-6728-5p	1	8	1	5	0	1	1	1	0	4	5	2	0	0	2	7
hsa-miR-4787-5p	6	14	4	2	4	3	3	5	4	5	7	17	8	8	6	4
hsa-miR-4420	0	2	2	2	0	1	4	1	2	4	2	0	2	1	0	6
hsa-miR-4291	4	3	5	0	3	2	0	3	9	6	4	4	2	1	0	8
hsa-miR-7515	7	5	7	5	6	5	5	5	3	14	5	7	6	2	1	19
hsa-miR-4251	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-146a-5p	32423	29831	58432	13761	66107	23367	27575	30587	63307	13449	43998	333516	134662	84718	223884	15612
hsa-miR-4699-5p	0	0	0	2	0	1	0	0	0	2	3	0	0	0	0	1
hsa-miR-3682-3p	3	0	3	0	7	1	5	2	2	0	9	6	1	1	0	4
hsa-miR-125a-5p	10924	2786	17893	393	4951	3736	4095	531	36236	2867	8257	24790	42428	5175	36683	2225
hsa-miR-4689	3	6	2	5	4	0	2	5	2	2	2	3	2	2	2	3
hsa-miR-5091	34	15	18	46	56	31	102	107	55	19	47	48	37	66	47	26
hsa-miR-877-5p	137	266	93	97	146	94	69	83	97	195	114	158	117	68	76	183
hsa-miR-184	1	5	12	5	2	1	4	6	4	1	0	3	1	2	2	2
hsa-miR-129-5p	10	4	2	4	6	40	58	11	2	14	7	3	1	5	6	9
hsa-miR-412-5p	1	1	1	2	1	1	0	1	0	6	1	3	0	0	0	2
hsa-miR-8060	0	1	0	0	1	0	1	0	1	2	0	0	2	3	3	0
hsa-miR-4671-5p	0	0	0	3	1	1	1	0	3	4	0	0	1	0	0	2
hsa-miR-5708	2	2	0	1	1	0	0	0	0	2	3	2	1	0	2	0
hsa-miR-10394-3p	4	5	7	3	14	8	3	10	7	13	4	13	10	5	1	12
hsa-miR-10396a-5p	7	2	10	3	7	12	9	6	8	5	14	14	12	4	6	5
hsa-miR-151b	2	1	1	2	2	8	7	11	6	0	1	0	1	15	3	0
hsa-miR-3714	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6726-5p	2	4	2	3	3	1	0	2	3	8	1	5	1	2	3	8
hsa-miR-6798-5p	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	2
hsa-miR-6801-5p	0	2	2	1	3	0	0	2	0	1	0	1	1	1	0	3
hsa-miR-485-5p	3	1	4	1	5	3	4	2	2	5	2	1	4	1	0	0
hsa-miR-6739-5p	3	8	17	6	3	6	13	2	22	10	6	3	0	3	6	17
hsa-miR-5187-5p	17	34	15	34	17	3	4	6	8	36	5	28	8	5	10	65
hsa-miR-4271	0	0	8	2	0	2	0	2	4	1	2	3	2	1	1	6
hsa-miR-6751-5p	5	3	2	7	4	3	4	9	7	3	9	3	7	2	5	5
hsa-miR-624-5p	8	37	3	44	19	2	5	11	4	26	8	19	6	13	5	34
hsa-miR-627-5p	9	8	12	12	21	5	13	11	4	27	16	18	9	15	15	17
hsa-miR-3161	3	0	0	0	0	0	0	2	0	2	0	2	0	1	1	15
hsa-miR-1246	315	1256	420	1694	1214	924	738	934	216	785	374	1059	1229	1120	250	402
hsa-miR-433-3p	4	6	4	5	11	8	3	1	1	23	9	7	3	0	0	4
hsa-miR-1255a	43	70	47	59	73	43	42	55	9	158	111	48	5	35	11	68
hsa-miR-3681-5p	1	5	0	2	1	8	21	3	1	4	1	1	0	3	0	6
hsa-miR-580-5p	21	20	23	19	18	11	31	19	29	48	13	20	3	19	20	21
hsa-miR-576-3p	299	872	250	1021	405	91	198	162	99	1246	440	404	147	131	113	1195
hsa-miR-550b-2-5p	0	1	0	0	2	0	1	3	1	0	1	2	1	0	0	0
hsa-miR-595	0	2	1	2	1	1	1	1	1	1	1	3	1	2	0	0
hsa-miR-1265	0	0	1	0	0	0	1	1	1	3	1	0	0	0	0	0
hsa-miR-3911	7	5	5	9	5	3	10	2	5	2	8	5	6	1	3	10
hsa-miR-514a-3p	87	11	355	41	213	44	26	15	356	42	125	136	1000	28	155	35
hsa-miR-10393-3p	0	11	3	51	32	1	2	3	4	1	1	8	11	1	1	2
hsa-miR-1258	0	0	0	7	0	0	0	0	0	4	0	0	2	0	0	2
hsa-miR-3193	0	2	0	2	1	1	1	3	2	4	2	3	3	1	3	3
hsa-miR-6774-5p	4	52	9	23	11	4	9	13	3	80	8	10	2	8	2	60
hsa-miR-3605-5p	52	274	34	182	49	18	26	32	15	137	65	48	32	17	19	251
hsa-miR-6892-5p	3	9	1	5	3	0	3	0	0	6	0	2	2	1	1	11
hsa-miR-3916	4	13	10	11	12	2	9	8	7	17	5	24	2	11	5	16
hsa-miR-6878-5p	2	1	0	3	0	1	0	5	2	3	1	2	2	2	0	5
hsa-miR-6507-5p	0	3	0	4	0	1	3	1	0	0	2	0	1	0	2	7
hsa-miR-7-5p	13207	29382	12417	45850	17472	5833	8281	7692	6914	30247	16161	16808	5362	7140	9884	27277
hsa-miR-4484	8	28	7	7	13	2	2	12	9	43	14	13	2	7	8	14
hsa-miR-10401-5p	0	0	0	6	1	0	2	0	2	1	0	4	1	1	0	2
hsa-miR-1-3p	112	17	10	12	107	16	33	9	12	71	132	200	12	11	9	42
hsa-miR-379-5p	52	81	72	179	53	61	33	21	4	467	141	73	78	7	2	131
hsa-miR-7113-5p	5	1	2	4	4	2	4	4	3	6	5	10	3	3	1	7
hsa-miR-5186	1	1	1	1	0	0	0	2	1	2	0	0	1	1	0	2
hsa-miR-4752	0	8	0	10	0	0	0	0	0	2	0	0	0	0	0	2
hsa-miR-4683	1	2	0	1	0	0	0	0	0	1	1	1	0	0	1	3
hsa-miR-3150a-3p	0	3	1	1	3	1	5	7	1	1	0	2	0	2	0	0
hsa-miR-185-5p	4981	22133	5895	26741	9543	2308	4147	4060	3392	23772	7101	11485	3737	4009	3290	24626
hsa-miR-5680	22	3	1	2	21	0	2	1	0	3	22	26	4	2	3	1
hsa-miR-6731-5p	9	2	5	2	17	4	2	0	5	3	14	33	4	8	11	4
hsa-miR-1270	4	0	1	2	0	0	0	0	0	0	0	0	2	0	1	0
hsa-miR-4768-3p	0	0	0	2	0	0	0	2	0	1	0	0	0	2	0	2
hsa-miR-3180	3	13	10	5	13	6	3	7	10	12	5	5	10	4	3	10
hsa-miR-2113	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-3198	4	20	8	6	11	7	5	1	0	26	1	4	6	2	3	23
hsa-miR-4700-5p	12	19	10	26	16	8	23	13	1	21	18	6	5	6	3	20
hsa-miR-5572	0	0	1	0	0	1	1	0	0	3	0	4	0	3	0	2
hsa-miR-4790-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-10524-5p	0	0	0	1	4	3	3	3	0	1	1	3	4	4	0	3
hsa-miR-4769-5p	4	3	10	1	5	4	3	6	1	10	10	6	3	1	5	14
hsa-miR-10395-3p	93	87	231	171	146	187	108	229	66	137	114	203	105	113	88	80
hsa-miR-9851-3p	4	10	6	6	9	2	3	8	1	11	1	5	6	3	2	4
hsa-miR-345-3p	0	3	0	3	0	0	0	0	2	0	0	1	2	1	0	1
hsa-miR-7152-3p	1	1	4	6	3	0	2	1	3	6	4	7	11	1	2	5
hsa-miR-8088	2	11	7	5	4	2	3	1	0	12	3	2	3	3	5	11
hsa-miR-3170	3	4	4	12	4	1	3	7	6	14	6	4	3	0	3	10
hsa-miR-3120-5p	2	1	0	9	1	2	2	1	1	5	4	1	2	1	0	6
hsa-miR-6783-3p	1	13	6	9	3	0	0	1	0	27	1	8	1	3	0	31
hsa-miR-6805-5p	2	7	1	4	1	2	1	0	1	5	2	3	1	3	0	7
hsa-miR-5681a	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4665-5p	9	10	3	3	15	4	4	4	3	15	11	29	1	3	0	10
hsa-miR-602	7	11	2	14	16	2	2	15	4	21	7	23	7	10	2	24
hsa-miR-328-5p	2	1	2	5	2	1	3	5	2	5	7	5	3	1	2	2
hsa-miR-3197	0	2	0	3	3	1	0	3	1	2	2	2	1	7	1	2
hsa-miR-4651	0	2	2	3	3	3	6	4	1	7	5	4	3	0	2	10
hsa-miR-4467	7	0	4	0	2	6	7	0	8	3	12	0	0	1	0	7
hsa-miR-1291	115	76	95	50	189	78	90	111	88	77	194	233	94	79	84	68
hsa-miR-2110	612	501	380	172	771	309	363	497	503	566	701	914	450	364	449	622
hsa-miR-203a-3p	66	44	21	101	28	10	38	20	64	85	23	32	43	8	30	204
hsa-miR-4668-5p	1	2	1	6	3	2	4	6	3	2	1	2	1	1	3	2
hsa-miR-6733-5p	3	5	2	5	13	6	12	17	7	18	7	8	8	8	9	11
hsa-miR-3153	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2
hsa-miR-378j	2	2	4	1	1	4	11	3	0	3	1	2	2	2	0	2
hsa-miR-4440	5	10	13	8	6	1	1	3	6	32	9	4	10	1	3	36
hsa-miR-4761-5p	0	1	3	0	0	0	0	0	2	0	1	0	0	0	0	1
hsa-miR-206	4	3	2	4	3	8	7	3	17	9	6	9	18	6	4	6
hsa-miR-1226-5p	1	0	2	3	0	0	0	0	0	6	1	2	0	1	0	2
hsa-miR-6716-5p	2	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0
hsa-miR-425-3p	994	2063	708	1485	1422	368	753	796	455	2054	1490	1927	508	485	394	2230
hsa-miR-6864-5p	3	8	2	14	0	0	0	0	1	7	6	1	0	0	0	11
hsa-miR-4520-2-3p	0	1	1	1	0	1	6	5	8	2	0	4	0	5	4	3
hsa-miR-3913-5p	26	38	18	40	43	14	48	60	6	32	40	57	12	32	15	31
hsa-miR-1288-3p	1	1	1	6	1	1	2	5	3	1	0	6	1	3	0	4
hsa-miR-3123	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2
hsa-miR-6874-5p	1	1	1	8	1	0	2	2	0	8	2	1	1	4	1	3
hsa-miR-6081	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
hsa-miR-3139	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0
hsa-miR-4747-5p	2	3	1	1	2	1	7	5	9	2	1	8	1	0	0	1
hsa-miR-1909-3p	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-4521	15	16	5	14	12	3	12	7	3	16	15	23	3	8	11	18
hsa-miR-608	2	0	0	2	2	0	2	0	0	1	0	0	1	1	0	1
hsa-miR-651-5p	499	801	256	842	590	135	588	507	327	766	515	855	292	394	410	1170
hsa-miR-3192-5p	15	16	4	12	10	4	5	5	2	14	12	11	5	5	3	18
hsa-miR-3612	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
hsa-miR-658	3	0	2	3	7	3	1	1	2	4	2	5	1	0	1	2
hsa-miR-4761-3p	0	10	0	1	0	0	0	0	0	7	0	1	1	0	0	4
hsa-miR-432-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4804-5p	6	16	5	24	11	3	5	5	4	8	7	6	6	10	9	9
hsa-miR-5706	4	7	1	8	3	3	3	9	0	9	4	5	2	4	1	11
hsa-miR-664b-5p	41	39	22	17	51	38	72	70	31	50	42	65	39	50	35	32
hsa-miR-3201	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1
hsa-miR-4754	2	3	1	6	1	0	0	3	0	3	0	0	0	1	3	6
hsa-miR-3159	7	10	1	7	4	1	3	4	6	13	7	11	6	11	4	10
hsa-miR-1178-5p	0	3	0	2	0	0	0	1	0	1	0	1	1	1	0	2
hsa-miR-5698	3	2	1	5	3	0	0	0	2	3	4	2	8	1	0	1
hsa-miR-876-5p	45	0	0	2	107	3	2	0	0	6	91	119	0	0	1	1
hsa-miR-6735-5p	0	10	2	2	2	2	3	3	2	12	5	2	1	3	1	5
hsa-miR-7112-5p	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-612	0	1	1	3	1	0	0	1	0	3	0	0	2	0	1	1
hsa-miR-6073	1	1	1	1	3	1	0	1	1	1	0	1	0	1	3	0
hsa-miR-449a	1	2	1	2	2	0	0	2	2	3	4	3	0	2	0	8
hsa-miR-9851-5p	0	3	1	1	3	0	1	1	2	8	5	2	0	2	4	3
hsa-miR-6743-5p	1	1	1	2	2	1	1	8	2	0	2	3	3	1	0	1
hsa-miR-5694	0	1	0	6	0	3	1	1	0	5	2	2	1	1	0	2
hsa-miR-5090	12	0	8	0	3	19	11	8	6	2	11	8	12	4	5	3
hsa-miR-6833-5p	2	16	12	14	4	1	4	3	1	31	4	6	1	2	2	29
hsa-miR-650	2	0	0	0	0	3	2	0	1	2	1	0	0	7	1	1
hsa-miR-5001-5p	8	10	10	14	8	5	3	7	2	31	8	9	6	2	6	20
hsa-miR-4503	1	2	0	2	0	1	1	0	0	0	0	0	1	0	0	2
hsa-miR-1911-3p	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	3
hsa-miR-4327	1	5	2	6	2	0	1	2	5	10	2	6	3	0	2	10
hsa-miR-7976	29	98	33	85	49	8	21	12	14	154	48	60	17	27	14	164
hsa-miR-328-3p	62	64	108	23	76	41	43	42	41	60	75	111	43	45	51	56
hsa-miR-4292	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0
hsa-miR-4474-3p	10	13	9	6	13	2	5	3	8	3	20	5	12	2	11	10
hsa-miR-7108-5p	0	3	2	2	0	1	2	0	4	0	0	1	3	1	0	2
hsa-miR-3124-5p	15	39	25	45	25	10	7	16	10	81	27	19	21	10	7	58
hsa-miR-6790-3p	0	2	1	2	3	1	1	4	0	0	2	4	5	0	0	1
hsa-miR-652-3p	481	1573	775	1192	890	234	444	685	406	1521	674	949	435	660	501	1441
hsa-miR-3181	0	0	0	1	1	0	0	1	0	0	0	2	1	1	0	0
hsa-miR-125b-1-3p	0	3	0	6	5	1	6	0	5	8	1	3	4	1	2	6
hsa-miR-4527	0	3	0	1	0	0	2	0	1	2	1	1	0	0	0	0
hsa-miR-6890-5p	1	1	0	1	0	0	1	0	0	0	1	3	3	2	0	4
hsa-miR-1301-3p	1175	3904	1354	2599	1501	466	497	387	768	4219	1536	1954	1071	408	784	4667
hsa-miR-12121	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1
hsa-miR-4741	2	2	1	1	2	2	2	8	0	10	0	2	1	0	0	6
hsa-miR-3136-5p	5	7	2	1	2	0	1	6	0	3	2	4	1	6	1	5
hsa-miR-1233-3p	0	1	1	3	2	0	0	0	0	0	0	0	2	0	1	1
hsa-miR-3655	2	1	3	1	2	1	0	8	3	7	0	14	7	6	3	6
hsa-miR-4734	1	18	7	13	9	10	2	8	6	50	12	7	8	8	7	41
hsa-miR-6866-5p	45	105	42	118	41	22	38	51	26	147	55	70	35	15	30	169
hsa-miR-6842-3p	132	663	150	643	182	41	124	150	42	1094	186	162	56	90	36	1110
hsa-miR-27a-5p	980	12715	750	12105	2108	111	610	263	451	4884	373	1557	1284	426	376	8758
hsa-miR-3675-5p	1	0	0	3	3	1	1	1	0	3	2	0	2	0	0	1
hsa-miR-4524b-3p	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1
hsa-miR-6786-5p	1	9	1	10	4	6	7	11	7	4	12	11	14	6	2	0
hsa-miR-500b-3p	18	79	23	48	18	12	9	15	5	85	24	30	18	10	1	98
hsa-miR-8056	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	3
hsa-miR-12114	2	6	0	10	2	1	0	2	1	3	1	8	2	1	2	4
hsa-miR-6863	1	2	3	0	0	1	1	1	0	0	0	0	1	0	2	2
hsa-miR-6819-5p	3	5	2	2	3	4	4	6	2	10	8	11	5	3	4	4
hsa-miR-323a-5p	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0
hsa-miR-122b-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-6855-5p	4	15	1	11	8	3	6	5	5	3	4	4	8	1	6	7
hsa-miR-541-3p	1	0	0	1	1	0	0	1	0	3	1	0	0	0	0	0
hsa-miR-4447	0	1	1	2	3	0	1	0	1	2	0	0	1	0	0	3
hsa-miR-140-5p	353	738	208	796	761	112	279	423	340	528	496	799	211	473	425	629
hsa-miR-134-5p	20	19	33	29	31	24	17	5	2	148	51	18	12	1	1	35
hsa-miR-933	2	2	3	2	3	1	1	1	0	9	4	7	1	0	0	5
hsa-miR-1293	1	1	1	2	2	1	1	0	0	0	0	0	1	1	0	1
hsa-miR-653-3p	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	3
hsa-miR-199a-5p	653	183	291	194	141	377	289	62	23	1255	723	342	35	93	23	886
hsa-miR-1251-3p	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5
hsa-miR-148a-5p	194	689	170	614	102	76	135	28	186	558	163	150	200	50	143	1588
hsa-miR-4309	2	3	2	1	1	0	1	2	0	1	2	1	0	1	1	6
hsa-miR-22-5p	469	500	184	344	1066	60	99	68	156	526	722	1190	183	162	158	426
hsa-miR-7156-5p	1	2	1	6	0	1	1	1	0	2	0	0	1	0	0	3
hsa-miR-11399	6	2	1	1	4	6	6	5	1	5	5	3	1	3	0	7
hsa-miR-581	24	34	29	70	33	4	32	23	13	63	52	44	17	14	16	63
hsa-miR-4677-5p	4	17	3	9	5	0	5	1	8	7	2	5	3	2	4	14
hsa-miR-4425	13	4	5	4	15	6	9	3	8	15	17	12	4	4	5	18
hsa-miR-4686	1	1	4	2	1	0	4	2	0	5	1	1	1	0	3	1
hsa-miR-6782-5p	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4
hsa-miR-320e	11	14	5	4	6	7	10	12	10	18	14	20	13	9	12	22
hsa-miR-6827-5p	0	6	1	3	0	0	1	0	0	3	1	0	1	2	1	4
hsa-miR-3182	7	20	6	10	15	4	5	7	7	25	9	19	10	4	9	22
hsa-miR-943	0	17	8	16	2	4	3	1	1	19	4	4	2	1	1	29
hsa-miR-199b-5p	511	9766	1885	10252	740	238	460	273	276	11658	647	1600	496	305	554	13586
hsa-miR-5705	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	4
hsa-miR-569	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0
hsa-miR-195-3p	29	9	4	1	20	22	70	108	10	3	28	41	9	85	12	11
hsa-miR-11401	3	16	7	13	1	5	0	0	0	22	4	3	2	0	0	10
hsa-miR-19a-3p	25	140	35	122	72	8	37	64	42	90	36	60	36	66	43	88
hsa-miR-301b-3p	0	56	9	79	5	1	1	0	0	32	3	5	3	1	1	48
hsa-miR-6722-3p	0	5	2	2	1	1	0	1	0	2	0	0	3	1	4	1
hsa-miR-4486	0	3	0	10	4	0	2	4	4	2	0	2	1	1	0	2
hsa-miR-33a-5p	84	131	34	152	118	45	209	187	86	195	166	142	46	130	72	195
hsa-miR-3085-5p	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6741-5p	4	7	4	10	13	5	9	8	3	5	5	7	8	4	4	5
hsa-miR-3677-3p	0	6	1	4	0	1	1	1	0	1	1	2	2	1	0	3
hsa-miR-3692-5p	0	4	1	4	3	0	1	1	0	3	3	4	0	2	1	7
hsa-miR-20a-5p	4494	25222	8923	44124	7049	2888	8799	12506	7910	18713	5119	11498	8175	11375	12412	19020
hsa-miR-4697-3p	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-654-5p	8	3	8	3	10	3	0	3	3	12	13	7	8	2	0	5
hsa-miR-4482-5p	3	10	1	17	6	1	4	0	1	26	3	5	5	2	6	36
hsa-miR-4437	3	1	1	1	1	3	7	15	4	2	2	3	3	3	2	1
hsa-miR-6802-5p	0	4	0	9	0	0	1	1	1	0	1	4	1	0	0	3
hsa-miR-12126	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3151-5p	1	4	3	1	2	2	0	1	0	4	1	4	3	0	1	2
hsa-miR-194-3p	16	19	9	5	14	6	9	4	6	20	15	22	8	2	6	15
hsa-miR-661	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-11400	41	23	18	32	13	34	28	6	1	161	70	43	1	9	0	82
hsa-miR-3936	1	1	0	0	0	0	5	0	2	0	0	0	1	1	0	2
hsa-miR-431-5p	4	1	0	7	4	1	0	2	0	10	10	5	3	1	0	1
hsa-miR-6774-3p	7	43	23	28	19	6	15	14	1	56	7	15	5	22	0	33
hsa-miR-4485-3p	22	178	190	47	364	26	7	313	33	269	41	597	89	165	30	87
hsa-miR-3119	0	0	1	1	1	0	0	1	1	1	0	1	0	0	1	0
hsa-miR-6512-5p	0	3	0	4	1	0	0	2	4	5	3	1	0	1	1	1
hsa-miR-9-5p	3234	12226	2349	15219	1981	597	1256	522	340	13614	2634	2901	1161	476	291	15142
hsa-miR-23b-5p	49	84	38	87	75	15	29	43	31	100	47	54	35	14	22	148
hsa-miR-584-3p	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
hsa-miR-12116	0	0	0	1	2	1	0	0	0	0	0	2	0	0	0	0
hsa-miR-6084	2	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0
hsa-miR-382-5p	8354	6644	7819	7471	9211	6328	13513	17001	7589	12609	6417	11012	5999	10915	10191	10353
hsa-miR-6818-3p	10	85	22	64	7	6	5	8	7	78	22	11	12	4	4	99
hsa-miR-580-3p	24	50	32	77	34	6	29	16	22	86	49	52	29	14	23	52
hsa-miR-744-3p	9	77	8	50	24	1	5	19	2	74	15	23	7	4	3	67
hsa-miR-3165	1	11	3	5	3	0	0	2	0	14	2	1	1	1	1	10
hsa-miR-5691	0	0	0	1	0	0	1	1	0	4	0	0	0	0	0	0
hsa-miR-4506	0	0	0	4	0	0	4	0	0	7	0	1	0	1	0	3
hsa-miR-639	1	0	3	2	3	3	1	9	0	2	2	3	4	2	2	1
hsa-miR-876-3p	58	3	0	0	133	2	10	0	0	6	104	182	1	10	1	4
hsa-miR-656-5p	1	0	2	3	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-5087	0	0	1	4	1	0	2	2	1	0	0	3	2	0	2	2
hsa-miR-642b-3p	0	0	10	0	1	9	0	0	0	4	100	2	0	0	0	0
hsa-miR-4781-3p	31	38	32	36	43	17	24	22	31	52	31	44	14	14	21	57
hsa-miR-190b-5p	74	453	88	347	173	32	66	94	45	503	96	192	39	77	59	537
hsa-miR-8068	0	1	0	0	2	1	2	5	0	1	0	2	1	4	0	0
hsa-miR-193b-5p	9	5	19	2	1	27	6	5	30	5	4	15	22	9	30	21
hsa-miR-4307	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1
hsa-miR-4328	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-1180-3p	14	11	3	5	36	7	3	5	1	16	20	24	9	8	2	6
hsa-miR-4999-5p	47	27	17	17	56	16	81	74	39	21	39	74	36	49	54	36
hsa-miR-1297	6	2	0	2	10	4	8	15	15	1	1	6	6	9	12	2
hsa-miR-8055	0	1	0	1	0	0	0	1	0	2	1	0	0	0	0	2
hsa-miR-216a-5p	0	0	0	0	1	0	1	0	0	1	2	0	0	0	1	3
hsa-miR-361-5p	1408	2449	1311	1772	2954	1264	2537	3711	2487	2141	2027	3701	1950	3357	2629	2215
